Artikelnr	Schlüssel	Preis	AZ	Strom	Gewicht(kg)	Photowert
6310	MG_MOCIS_UEINLI_NL1300_SX_2.0	179	0	0	1.671	
6319	MG_MOCIS_ULILEI_STD_U_2.0	4.8	0	0	0.002	
4638	MG_MOCIS_HAULSP_STD_SX_1.0	49.1	0	0	0.051	
-108	MG_MOCIS_ULSP_NL520_U_2.0	10	0	0	0.06	
-109	MG_MOCIS_ULSP_NL780_U_2.0	10	0	0	0.089	
6151	MG_MOCIS_ULSP_NL1040_U_2.0	10	0	0	0.118	
6308	MG_MOCIS_ULSP_NL1300_U_2.0	10	0	0	0.147	
-110	MG_MOCIS_LILEI_NL520_U_2.0	25	0	0	0.138	
-111	MG_MOCIS_LILEI_NL780_U_2.0	25	0	0	0.199	
6154	MG_MOCIS_LILEI_NL1040_U_2.0	25	0	0	0.26	
6309	MG_MOCIS_LILEI_NL1300_U_2.0	38.5	0	0	0.321	
5425	MG_MOCIS_HALILEI_STD_SX_2.0	13.4	0	0	0.015	
8013	MG_MXLED_GEH50_NL1040_SX_1.0	116.4	0	0	2.12	
8014	MG_MXLED_GEH50_NL910_SX_1.0	103	0	0	1.8	
8015	MG_MXLED_GEH50_NL780_SX_1.0	90	0	0	1.63	
8016	MG_MXLED_GEH50_NL650_SX_1.0	82	0	0	1.3	
8017	MG_MXLED_GEH50_NL520_SX_1.0	64	0	0	1.14	
8012	MG_MXLED_GEH50_NL390_SX_1.0	57	0	0	0.8	
8018	MG_MXLED_GEH50_NL260_SX_1.0	50	0	0	0.575	
8095	MG_MXLED_GEH50_NL260_SX_1.1	50	0	0	0.575	
9138	MG_MXLED_GEH50_NL260_SX_1.2	50	0	0	0.575	
8096	MG_MXLED_GEH50_NL390_SX_1.1	57	0	0	0.8	
8097	MG_MXLED_GEH50_NL520_SX_1.1	64	0	0	1.14	
8100	MG_MXLED_GEH50_NL650_SX_1.1	82	0	0	1.3	
8098	MG_MXLED_GEH50_NL780_SX_1.1	90	0	0	1.63	
8101	MG_MXLED_GEH50_NL910_SX_1.1	103	0	0	1.8	
8099	MG_MXLED_GEH50_NL1040_SX_1.1	116.4	0	0	2.12	
9563	MG_MXLED_GEH50_NL260_SX_2.3	50	0	0	0.575	
9564	MG_MXLED_GEH50_NL390_SX_2.3	57	0	0	0.8	
9565	MG_MXLED_GEH50_NL520_SX_2.3	64	0	0	1.14	
9566	MG_MXLED_GEH50_NL650_SX_2.3	82	0	0	1.3	
9567	MG_MXLED_GEH50_NL780_SX_2.3	90	0	0	1.63	
9568	MG_MXLED_GEH50_NL910_SX_2.3	103	0	0	1.8	
9569	MG_MXLED_GEH50_NL1040_SX_2.3	116.4	0	0	2.12	
9570	MG_MXLED_GEH50_NL1300_SX_2.3	129.75	0	0	2.61	
9571	MG_MXLED_GEH50_NL1560_SX_2.3	178	0	0	3.1	
-113	MG_MXLED_GEH50_NL1820_SX_2.3	218	0	0	3.59	
-114	MG_MXLED_GEH50_NL2080_SX_2.3	258	0	0	4.08	
